dataset,input,output
CardRatings,"description=""Aer Lingus Visa Signature® Card Issuer: on Chase Credit Cards'ssecure website Credit Required: Good/Excellent Earn 85,000 Avios after you spend $5,000 on purchases within the first three months of account opening. Earn 3 Avios per $1 spent on purchases with Aer Lingus, British Airways, Iberia, and LEVEL. Earn 2 Avios per $1 spent on hotel accommodations when purchased directly with the hotel. Every\n calendar year you make purchases of $30,000 on your Aer Lingus Visa \nSignature Card, you'll receive a Commercial Companion Ticket good for 12\n months You and any authorized users on \nyour account are eligible for Priority Boarding on Aer Lingus flights \ndeparting from and returning to the US from Ireland, subject to \navailability. Pay no foreign transaction fees when you travel abroad. Simply\n tap to pay with your contactless Aer Lingus Visa Signature Card. Just \nlook for the contactless symbol at checkout. It's fast, easy and secure! Member FDIC""","{""name"":""Aer Lingus Visa Signature® Card"",""issuer"":""Chase"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Avios"",""reward_amount"":1,""reward_threshold"":null},{""category"":""transportation"",""reward_unit"":""Avios"",""reward_amount"":3,""reward_threshold"":null},{""category"":""accommodation"",""reward_unit"":""Avios"",""reward_amount"":2,""reward_threshold"":null}],""benefits"":[""priority boarding"",""no foreign transaction fees""],""credit_needed"":[""Excellent"",""Good""],""apr"":[{""apr"":20.99,""apr_type"":""Purchase""},{""apr"":25.99,""apr_type"":""Cash Advance""},{""apr"":20.99,""apr_type"":""Balance Transfer""},{""apr"":29.99,""apr_type"":""Penalty""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":5000,""timeframe"":3,""reward_type"":""Avios"",""reward_amount"":85000}],""annual_fee"":{""fee_usd"":95,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Avios"",""keywords"":[""Travel"",""Rewards-focused"",""Luxury"",""Airline""]}"
CardRatings,"description=""Aeroplan® Credit Card Issuer: on Chase Credit Cards'ssecure website Credit Required: Good, Excellent Earn up to 100,000 bonus points Earn\n 75,000 bonus points after you spend $4,000 on purchases in the first 3 \nmonths your account is open. Plus, 25,000 bonus points after you spend \n$20,000 on purchases in the first 12 months. $95 Annual Fee Redeem points for both international and domestic flights with the Aeroplan® Credit Card. Fly to another continent and travel the world with the Aeroplan® Credit Card. Earn\n 3X points for each dollar spent at grocery stores, on dining at \nrestaurants, and Air Canada directly. Earn 1X point for each dollar \nspent on all other purchases. 500 bonus points for every $2,000 you spend in a calendar month - up to 1,500 points per month. Member FDIC""","{""name"":""Chase Aeroplan® Credit Card"",""issuer"":""Chase"",""reward_category_map"":[{""category"":""groceries"",""reward_unit"":""Aeroplan Points"",""reward_amount"":3,""reward_threshold"":null},{""category"":""dining"",""reward_unit"":""Aeroplan Points"",""reward_amount"":3,""reward_threshold"":null},{""category"":""service"",""reward_unit"":""Aeroplan Points"",""reward_amount"":3,""reward_threshold"":null},{""category"":""general"",""reward_unit"":""Aeroplan Points"",""reward_amount"":1,""reward_threshold"":{""on_up_to_purchase_amount_usd"":2000,""per_timeframe_num_months"":1,""fallback_reward_amount"":1}},{""category"":""general"",""reward_unit"":""Aeroplan Points"",""reward_amount"":0.25,""reward_threshold"":{""on_up_to_purchase_amount_usd"":6000,""per_timeframe_num_months"":1,""fallback_reward_amount"":0}}],""benefits"":[""no foreign transaction fees"",""free checked bags"",""travel insurance"",""global entry/tsa precheck credit"",""rental car insurance""],""credit_needed"":[""Excellent"",""Good""],""apr"":[{""apr"":20.49,""apr_type"":""Purchase""},{""apr"":25.74,""apr_type"":""Cash Advance""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":4000,""timeframe"":3,""reward_type"":""Aeroplan Points"",""reward_amount"":75000},{""purchase_type"":""general"",""condition_amount"":20000,""timeframe"":12,""reward_type"":""Aeroplan Points"",""reward_amount"":25000}],""annual_fee"":{""fee_usd"":95,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Aeroplan Points"",""keywords"":[""Travel"",""Rewards-focused""]}"
CardRatings,"description=""Alaska Airlines Visa Signature® credit card Issuer: on Bank of America Credit Cards'ssecure website Credit Required: Excellent/Good LIMITED TIME ONLINE OFFER-60,000 Bonus Miles! Get\n 60,000 bonus miles plus Alaska's Famous Companion Fare™ ($99 fare plus \ntaxes and fees from $23) with this offer. To qualify, make $3,000 or \nmore in purchases within the first 90 days of opening your account. Get\n Alaska's Famous Companion Fare™ ($99 fare plus taxes and fees from $23)\n each account anniversary after you spend $6,000 or more on purchases \nwithin the prior anniversary year. Valid on all Alaska Airlines flights \nbooked on alaskaair.com. Earn unlimited 3 \nmiles for every $1 spent on eligible Alaska Airlines purchases. Earn \nunlimited 2 miles for every $1 spent on eligible gas, EV charging \nstation, cable, streaming services and local transit (including ride \nshare) purchases. And earn unlimited 1 mile per $1 spent on all other \npurchases. And, your miles don't expire on active accounts. Earn a 10% rewards bonus on all miles earned from card purchases if you have an eligible Bank of America® account. Free\n checked bag and enjoy priority boarding for you and up to 6 guests on \nthe same reservation, when you pay for your flight with your card - Also\n available for authorized users when they book a reservation too! With\n oneworld® Alliance member airlines and Alaska's Global Partners, Alaska\n has expanded their global reach to over 1,000 destinations worldwide \nbringing more airline partners and more ways to earn and redeem miles. Plus, no foreign transaction fees and a low $95 annual fee. This\n online only offer may not be available elsewhere if you leave this \npage. You can take advantage of this offer when you apply now.""","{""name"":""Alaska Airlines Visa Signature® Credit Card"",""issuer"":""Bank of America"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Alaska Mileage Plan Miles"",""reward_amount"":1,""reward_threshold"":null},{""category"":""transport"",""reward_unit"":""Alaska Mileage Plan Miles"",""reward_amount"":3,""reward_threshold"":null},{""category"":""fuel"",""reward_unit"":""Alaska Mileage Plan Miles"",""reward_amount"":2,""reward_threshold"":null},{""category"":""electronics"",""reward_unit"":""Alaska Mileage Plan Miles"",""reward_amount"":2,""reward_threshold"":null},{""category"":""transportation"",""reward_unit"":""Alaska Mileage Plan Miles"",""reward_amount"":2,""reward_threshold"":null}],""benefits"":[""free checked bags"",""priority boarding"",""no foreign transaction fees""],""credit_needed"":[""Excellent"",""Good""],""apr"":[{""apr"":20.99,""apr_type"":""Purchase""},{""apr"":23.99,""apr_type"":""Cash Advance""},{""apr"":20.99,""apr_type"":""Balance Transfer""},{""apr"":28.99,""apr_type"":""Penalty""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":3000,""timeframe"":3,""reward_type"":""Alaska Mileage Plan Miles"",""reward_amount"":60000}],""annual_fee"":{""fee_usd"":95,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Alaska Mileage Plan Miles"",""keywords"":[""Travel"",""Airline"",""Rewards-focused"",""No Annual Fee""]}"
CardRatings,"description=""Alaska Airlines Visa® Business card Issuer: on Bank of America Credit Cards'ssecure website Credit Required: Excellent Get\n 50,000 bonus miles and Alaska's Famous Companion Fare™ ($99 fare plus \ntaxes and fees from $23) after you make $3,000 or more in purchases \nwithin the first 90 days of opening your account. Earn another \nAlaska's Famous Companion Fare™ ($99 fare plus taxes and fees from $23) \neach account anniversary after spending $6,000 or more on purchases \nwithin the prior anniversary year. Free checked bag for any \ncardholder and up to 6 guests on the same reservation, when you pay for \nyour flight with your card - that's a savings of $60 per person \nroundtrip! Priority Boarding for any cardholder when paying for the flight with an Alaska Airlines Business card. Earn\n 3 miles for every $1 spent on eligible Alaska Airlines purchases, 2 \nmiles for every $1 spent on eligible gas, EV charging station, shipping \nand local transit (including rideshare) purchases and 1 mile for every \n$1 spent on all other purchases. Earn a 10%\n rewards bonus on all miles earned from card purchases if your company \nhas an eligible Bank of America® small business account. Enjoy 20% back on Alaska Airlines inflight purchases when you pay with your new card. Get $100 off an annual Alaska Lounge+ Membership purchased with your Alaska Airlines Business card. Plus, no international transaction fees and a low annual fee of $70 for the company and $25 per card. This\n offer may not be available if you leave this page or visit our website.\n You can take advantage of this offer when you apply now.""","{""name"":""Alaska Airlines Visa® Business Card"",""issuer"":""Bank of America"",""reward_category_map"":[{""category"":""transportation"",""reward_unit"":""Alaska Mileage Plan Miles"",""reward_amount"":3,""reward_threshold"":{""on_up_to_purchase_amount_usd"":0,""per_timeframe_num_months"":0,""fallback_reward_amount"":0}},{""category"":""fuel"",""reward_unit"":""Alaska Mileage Plan Miles"",""reward_amount"":2,""reward_threshold"":null},{""category"":""transport"",""reward_unit"":""Alaska Mileage Plan Miles"",""reward_amount"":2,""reward_threshold"":null},{""category"":""unknown"",""reward_unit"":""Alaska Mileage Plan Miles"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""free checked bags"",""priority boarding"",""no foreign transaction fees""],""credit_needed"":[""Excellent""],""apr"":[{""apr"":20.99,""apr_type"":""Purchase""},{""apr"":29.99,""apr_type"":""Cash Advance""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":3000,""timeframe"":3,""reward_type"":""Alaska Mileage Plan Miles"",""reward_amount"":50000}],""annual_fee"":{""fee_usd"":95,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Alaska Mileage Plan Miles"",""keywords"":[""Business"",""Travel"",""Airline"",""Rewards-focused""]}"
CardRatings,"description=""Amazon Business American Express Card Issuer: on American Express (Impact Radius)'ssecure website Credit Required: Excellent, Good Get a $100 Amazon Gift Card upon approval for the Amazon Business American Express Card. Take\n advantage of 3% Back and benefit your bottom line or 60 day no-interest\n terms to free up your cash flow on U.S. purchases at Amazon Business, \nAWS, Amazon.com and Whole Foods Market. Earn 3% Back on the first \n$120,000 in purchases each calendar year, 1% Back thereafter 2% \nBack at U.S. restaurants, U.S. gas stations, and on wireless telephone \nservices purchased directly from U.S. service providers 1% Back on other purchases No Annual Fee¤ Back\n your business with the broad selection of Amazon and the service of \nAmerican Express. Stay focused on your top business priorities, knowing \nwe're behind you. You choose when to \nredeem. Redeem rewards on millions of items during checkout at \nAmazon.com and Amazon Business (U.S.) or apply towards a purchase on \nyour statement. Terms apply.""","{""name"":""Amazon Business American Express Card"",""issuer"":""American Express"",""reward_category_map"":[{""category"":""Amazon"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":{""on_up_to_purchase_amount_usd"":120000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""dining"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":2,""reward_threshold"":null},{""category"":""fuel"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":2,""reward_threshold"":null},{""category"":""phone"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":2,""reward_threshold"":null},{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""no foreign transaction fees""],""credit_needed"":[""Excellent"",""Good""],""apr"":[{""apr"":18.24,""apr_type"":""Purchase""},{""apr"":27.24,""apr_type"":""Cash Advance""},{""apr"":18.24,""apr_type"":""Balance Transfer""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":0,""timeframe"":0,""reward_type"":""Statement Credit USD"",""reward_amount"":100}],""annual_fee"":null,""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Business"",""Rewards-focused"",""Cashback"",""No Annual Fee""]}"
CardRatings,"description=""Amazon Business Prime American Express Card Issuer: on American Express (Impact Radius)'ssecure website Credit Required: Excellent, Good Eligible Prime Members get a $125 Amazon Gift Card upon approval for the Amazon Business Prime American Express Card. Take\n advantage of 5% Back or 90 day Terms on U.S. purchases at Amazon \nBusiness, AWS, Amazon.com and Whole Foods Market with eligible Prime \nmembership. You can earn 5% Back on the first $120,000 in purchases each\n calendar year, 1% Back thereafter 2% Back at U.S. restaurants, \nU.S. gas stations, and on wireless telephone services purchased directly\n from U.S. service providers 1% Back on other purchases No Annual Fee¤ Back\n your business with the broad selection of Amazon and the service of \nAmerican Express. Stay focused on your top business priorities, knowing \nwe're behind you. Redeem rewards on \nmillions of items during checkout at Amazon.com and Amazon Business \n(U.S.) or apply towards a purchase on your statement. Terms apply.""","{""name"":""Amazon Business Prime American Express Card"",""issuer"":""American Express"",""reward_category_map"":[{""category"":""shopping"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":5,""reward_threshold"":{""on_up_to_purchase_amount_usd"":120000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""dining"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":2,""reward_threshold"":null},{""category"":""fuel"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":2,""reward_threshold"":null},{""category"":""phone"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":2,""reward_threshold"":null},{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""extended warranty"",""purchase protection"",""no foreign transaction fees""],""credit_needed"":[""Excellent"",""Good""],""apr"":[{""apr"":18.99,""apr_type"":""Purchase""},{""apr"":27.24,""apr_type"":""Cash Advance""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":125,""timeframe"":3,""reward_type"":""Statement Credit USD"",""reward_amount"":125}],""annual_fee"":{""fee_usd"":0,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Business"",""Rewards-focused"",""No Annual Fee"",""Cashback"",""Low APR"",""Small Business""]}"
CardRatings,"description=""American Airlines AAdvantage® MileUp® Card Issuer: on Citi Bank Credit Cards'ssecure website Credit Required: Excellent, Good Earn 15,000 American Airlines AAdvantage® bonus miles after making \n$1000 in purchases within the first 3 months of account opening. 0% Intro APR for 15 months on balance transfers; after that, the \nvariable APR will be 20.74% - 29.74%, based on your creditworthiness. \nInterest will be charged on purchases unless you pay the balance due, \nincluding balance transfers, by the due date each month. Balance transfer fee of either $5 or 5% of the amount of each credit \ncard balance transfer, whichever is greater. Balance Transfers must be \ncompleted within 4 months of account opening. No Annual Fee Earn 2 AAdvantage® miles for each $1 spent at grocery stores, including grocery delivery services Earn 2 AAdvantage® miles for every $1 spent on eligible American Airlines purchases Save 25% on inflight food and beverage purchases when you use your card on American Airlines flights""","{""name"":""American Airlines AAdvantage® MileUp® Card"",""issuer"":""Citi"",""reward_category_map"":[{""category"":""groceries"",""reward_unit"":""American Airlines AAdvantage Miles"",""reward_amount"":2,""reward_threshold"":null},{""category"":""transportation"",""reward_unit"":""American Airlines AAdvantage Miles"",""reward_amount"":2,""reward_threshold"":null}],""benefits"":[""travel insurance"",""extended warranty""],""credit_needed"":[""Excellent"",""Good""],""apr"":[{""apr"":20.74,""apr_type"":""Purchase""},{""apr"":29.74,""apr_type"":""Purchase""},{""apr"":20.74,""apr_type"":""Balance Transfer""},{""apr"":29.74,""apr_type"":""Cash Advance""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":1000,""timeframe"":3,""reward_type"":""American Airlines AAdvantage Miles"",""reward_amount"":15000}],""annual_fee"":null,""statement_credit"":[{""credit_amount"":25,""unit"":""Percent Cashback USD"",""categories"":[""dining""],""vendors"":[""Amazon""],""timeframe_months"":12,""max_uses"":1,""description"":""Save 25% on inflight food and beverage purchases when you use your card on American Airlines flights.""}],""primary_reward_unit"":""American Airlines AAdvantage Miles"",""keywords"":[""Travel"",""Rewards-focused"",""Airline"",""No Annual Fee"",""Balance Transfer""]}"
CardRatings,"description=""American Express® Business Gold Card Issuer: on American Express (Impact Radius)'ssecure website Credit Required: Excellent, Good Welcome\n Offer: Earn 100,000 Membership Rewards® points after you spend $15,000 \non eligible purchases with the Business Gold Card within the first 3 \nmonths of Card Membership.* 0% Intro APR ¤  for 6 months from \nthe date of account opening on purchases eligible for Pay Over Time, \nthen a 18.99% to 27.99% variable APR.* Earn 4X Membership \nRewards® points on the top two eligible categories where your business \nspends the most each month from 6 eligible categories. While your top 2 \ncategories may change, you will earn 4X points on the first $150,000 in \ncombined purchases from these categories each calendar year (then 1X \nthereafter). Only the top 2 categories each billing cycle will count \ntowards the $150,000 cap.* Earn 3X Membership Rewards® points on flights and prepaid hotels booked on amextravel.com using your Business Gold Card.* Earn\n up to $20 in statement credits monthly after you use the Business Gold \nCard for eligible U.S. purchases at FedEx, Grubhub, and Office Supply \nStores. This can be an annual savings of up to $240. Enrollment \nrequired. Get up to a $12.95** statement \ncredit back each month after you pay for a monthly Walmart+ membership \n(subject to auto-renewal) with your Business Gold Card. **Up to $12.95 \nplus applicable taxes on one membership fee.* The\n Business Gold Card now comes in three metal designs: Gold, Rose Gold \nand Limited Edition White Gold. White Gold design is only available \nwhile supplies last. Make your selection when you apply on \nAmericanexpress.com. *Terms Apply""","{""name"":""American Express Business Gold Card"",""issuer"":""American Express"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""American Express Membership Rewards"",""reward_amount"":4,""reward_threshold"":{""on_up_to_purchase_amount_usd"":150000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""dining"",""reward_unit"":""American Express Membership Rewards"",""reward_amount"":4,""reward_threshold"":{""on_up_to_purchase_amount_usd"":150000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""transportation"",""reward_unit"":""American Express Membership Rewards"",""reward_amount"":3,""reward_threshold"":null}],""benefits"":[""extended warranty"",""purchase protection"",""no foreign transaction fees"",""travel insurance"",""airport lounge access""],""credit_needed"":[""Excellent"",""Good""],""apr"":[{""apr"":18.99,""apr_type"":""Purchase""},{""apr"":27.99,""apr_type"":""Penalty""},{""apr"":27.99,""apr_type"":""Cash Advance""},{""apr"":0.0,""apr_type"":""Promotional""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":15000,""timeframe"":3,""reward_type"":""American Express Membership Rewards"",""reward_amount"":100000}],""annual_fee"":{""fee_usd"":295,""waived_for"":0},""statement_credit"":[{""credit_amount"":20,""unit"":""Statement Credit USD"",""categories"":[""transportation"",""dining"",""office""],""vendors"":[],""timeframe_months"":12,""max_uses"":12,""description"":""Earn up to $20 in statement credits monthly after you use the card for select purchases at FedEx, Grubhub, and Office Supply Stores.""},{""credit_amount"":12.95,""unit"":""Statement Credit USD"",""categories"":[],""vendors"":[""Walmart""],""timeframe_months"":12,""max_uses"":12,""description"":""Get up to a $12.95 statement credit each month after you pay for a monthly Walmart+ membership with your Business Gold Card.""}],""primary_reward_unit"":""American Express Membership Rewards"",""keywords"":[""Business"",""Rewards-focused"",""Travel"",""High Limit""]}"
CardRatings,"description=""American Express® Gold Card Issuer: on American Express (Impact Radius)'ssecure website Credit Required: Good, Excellent Earn\n 60,000 Membership Rewards® points after you spend $6,000 on eligible \npurchases on your new Card in your first 6 months of Card Membership. Earn\n 4X Membership Rewards® points per dollar spent on purchases at \nrestaurants worldwide, on up to $50,000 in purchases per calendar year, \nthen 1X points for the rest of the year. Earn 4X Membership \nRewards® points per dollar spent at US supermarkets, on up to $25,000 in\n purchases per calendar year, then 1X points for the rest of the year. Earn 3X Membership Rewards® points per dollar spent on flights booked directly with airlines or on AmexTravel.com. Earn 2X Membership Rewards® points per dollar spent on prepaid hotels and other eligible purchases booked on AmexTravel.com. Earn 1X Membership Rewards® point per dollar spent on all other eligible purchases. $120\n Uber Cash on Gold: Add your Gold Card to your Uber account and each \nmonth automatically get $10 in Uber Cash for Uber Eats orders or Uber \nrides in the U.S., totaling up to $120 per year. Effective 11/8/2024, an\n Amex Card must be selected as the payment method for your Uber or Uber \nEats transaction to redeem the Amex Uber Cash benefit. $84\n Dunkin' Credit: With the $84 Dunkin' Credit, you can earn up to $7 in \nmonthly statement credits after you enroll and pay with the American \nExpress® Gold Card at U.S. Dunkin' locations. $100\n Resy Credit: Get up to $100 in statement credits each calendar year \nafter you pay with the American Express® Gold Card to dine at U.S. Resy \nrestaurants or make other eligible Resy purchases. That's up to $50 in \nstatement credits semi-annually. Enrollment required. $120\n Dining Credit: Satisfy your cravings, sweet or savory, with the $120 \nDining Credit. Earn up to $10 in statement credits monthly when you pay \nwith the American Express® Gold Card at Grubhub, The Cheesecake Factory,\n Goldbelly, Wine.com, and Five Guys. Enrollment required. Explore\n over 1,000 upscale hotels worldwide with The Hotel Collection and \nreceive a $100 credit towards eligible charges with every booking of two\n nights or more through AmexTravel.com. Eligible charges vary by \nproperty. No Foreign Transaction Fees. Annual Fee is $325. Apply\n with confidence. Know if you're approved for a Card with no impact to \nyour credit score. If you're approved and you choose to accept this \nCard, your credit score may be impacted. Terms Apply.""","{""name"":""American Express Gold Card"",""issuer"":""American Express"",""reward_category_map"":[{""category"":""dining"",""reward_unit"":""American Express Membership Rewards"",""reward_amount"":4,""reward_threshold"":{""on_up_to_purchase_amount_usd"":50000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""groceries"",""reward_unit"":""American Express Membership Rewards"",""reward_amount"":4,""reward_threshold"":{""on_up_to_purchase_amount_usd"":25000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""transportation"",""reward_unit"":""American Express Membership Rewards"",""reward_amount"":3,""reward_threshold"":null},{""category"":""accommodation"",""reward_unit"":""American Express Membership Rewards"",""reward_amount"":2,""reward_threshold"":null},{""category"":""general"",""reward_unit"":""American Express Membership Rewards"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""no foreign transaction fees"",""airport lounge access"",""concierge service"",""travel assistance services"",""extended warranty""],""credit_needed"":[""Good"",""Excellent""],""apr"":[{""apr"":20.99,""apr_type"":""Purchase""},{""apr"":27.99,""apr_type"":""Cash Advance""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":6000,""timeframe"":6,""reward_type"":""American Express Membership Rewards"",""reward_amount"":60000}],""annual_fee"":{""fee_usd"":250,""waived_for"":0},""statement_credit"":[{""credit_amount"":120,""unit"":""Statement Credit USD"",""categories"":[""dining""],""vendors"":[""Amazon"",""Target"",""Walgreens"",""Walmart"",""Kroger"",""Lowes"",""Aldi"",""Costco""],""timeframe_months"":12,""max_uses"":12,""description"":""$10 in monthly Uber Cash for Uber Eats or Uber rides.""},{""credit_amount"":84,""unit"":""Statement Credit USD"",""categories"":[""dining""],""vendors"":[],""timeframe_months"":12,""max_uses"":12,""description"":""$7 in monthly statement credits at U.S. Dunkin' locations.""},{""credit_amount"":100,""unit"":""Statement Credit USD"",""categories"":[""dining""],""vendors"":[],""timeframe_months"":12,""max_uses"":1,""description"":""$100 in statement credits for Resy restaurant or purchase.""},{""credit_amount"":120,""unit"":""Statement Credit USD"",""categories"":[""dining""],""vendors"":[],""timeframe_months"":12,""max_uses"":12,""description"":""$10 in monthly statement credits at select dining locations.""}],""primary_reward_unit"":""American Express Membership Rewards"",""keywords"":[""Personal"",""Luxury"",""Dining"",""Travel"",""Rewards-focused""]}"
CardRatings,"description=""Bank of America® Business Advantage Customized Cash Rewards Mastercard® credit card Issuer: on Bank of America Credit Cards'ssecure website Credit Required: Excellent Get a $300 online statement credit after you make at least $3,000 in purchases in the first 90 days of your account opening. Earn\n 3% cash back in the category of your choice: gas stations & EV \ncharging stations (default), office supply stores, travel, TV/telecom \n& wireless, computer services or business consulting services, 2% \ncash back on dining purchases and 1% cash back on all other purchases. You'll\n earn 3% cash back on purchases in the category of your choice and 2% \ncash back on dining purchases on the first $50,000 in combined choice \ncategory/dining purchases each calendar year, 1% thereafter. You\n can earn up to 75% more cash back on every purchase, if you have a \nbusiness checking account with Bank of America and qualify for Preferred\n Rewards for Business Platinum Honors tier. That means you could earn up\n to 5.25% cash back in your selected choice category and up to 3.5% cash\n back on dining purchases on the first $50,000 in those combined \npurchases each calendar year, and up to an unlimited 1.75% cash back on \nall other purchases. No annual fee. Choose\n how to redeem your cash rewards-as a deposit into your Bank of America®\n checking or savings account, as a card statement credit or as a check \nmailed to you. Cash rewards don't expire as long as your account remains\n open. To change your choice category for \nfuture purchases, you must go to the Mobile Banking app or Business \nAdvantage 360, our small business online banking. You can change it once\n each calendar month, or make no change and it stays the same. 0%\n Introductory APR on purchases for your first 9 billing cycles. After \nthe intro APR offer ends, a Variable APR that's currently 17.99% to \n27.99% will apply. Contactless Cards - The security of a chip card, with the convenience of a tap. This\n offer may not be available if you leave this page or visit our website.\n You can take advantage of this offer when you apply now.""","{""name"":""Bank of America Business Advantage Customized Cash Rewards Mastercard"",""issuer"":""Bank of America"",""reward_category_map"":[{""category"":""fuel"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":{""on_up_to_purchase_amount_usd"":50000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""office"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":{""on_up_to_purchase_amount_usd"":50000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""transport"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":{""on_up_to_purchase_amount_usd"":50000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""utilities"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":{""on_up_to_purchase_amount_usd"":50000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""software"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":{""on_up_to_purchase_amount_usd"":50000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""service"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":{""on_up_to_purchase_amount_usd"":50000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""dining"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":2,""reward_threshold"":{""on_up_to_purchase_amount_usd"":50000,""per_timeframe_num_months"":12,""fallback_reward_amount"":1}},{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""no foreign transaction fees"",""purchase protection""],""credit_needed"":[""Excellent""],""apr"":[{""apr"":17.99,""apr_type"":""Purchase""},{""apr"":27.99,""apr_type"":""Purchase""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":3000,""timeframe"":3,""reward_type"":""Statement Credit USD"",""reward_amount"":300}],""annual_fee"":null,""statement_credit"":[{""credit_amount"":300,""unit"":""Statement Credit USD"",""categories"":[""general""],""vendors"":[],""timeframe_months"":3,""max_uses"":1,""description"":""Earn $300 online statement credit after $3,000 in purchases within the first 90 days.""}],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Business"",""Rewards-focused"",""No Annual Fee""]}"
